"merchant","logoUrl"
"7 Gypsies","http://img1.prosperent.com/images/brandlogos/120x60/7%20Gypsies.png"
"71 Stanton","http://img1.prosperent.com/images/brandlogos/120x60/71%20Stanton.png"
"72'' Beer Bong with Nozzle","http://img1.prosperent.com/images/brandlogos/120x60/72%27%27%20Beer%20Bong%20with%20Nozzle.png"
"72K","http://img1.prosperent.com/images/brandlogos/120x60/72K.png"
"7EYE","http://img1.prosperent.com/images/brandlogos/120x60/7EYE.png"
"8 in 1","http://img1.prosperent.com/images/brandlogos/120x60/8%20in%201.png"
"8-in-1","http://img1.prosperent.com/images/brandlogos/120x60/8-in-1.png"
"80%20","http://img1.prosperent.com/images/brandlogos/120x60/80%2520.png"
"80's","http://img1.prosperent.com/images/brandlogos/120x60/80%27s.png"
"8000 Nerves","http://img1.prosperent.com/images/brandlogos/120x60/8000%20Nerves.png"
"80s","http://img1.prosperent.com/images/brandlogos/120x60/80s.png"
"872696100452","http://img1.prosperent.com/images/brandlogos/120x60/872696100452.png"
"87837","http://img1.prosperent.com/images/brandlogos/120x60/87837.png"
"89th & Madison","http://img1.prosperent.com/images/brandlogos/120x60/89th%20%26%20Madison.png"
"9 Grand","http://img1.prosperent.com/images/brandlogos/120x60/9%20Grand.png"
"9 Seed","http://img1.prosperent.com/images/brandlogos/120x60/9%20Seed.png"
"911 Fight Club","http://img1.prosperent.com/images/brandlogos/120x60/911%20Fight%20Club.png"
"99 Degrees","http://img1.prosperent.com/images/brandlogos/120x60/99%20Degrees.png"
"9five","http://img1.prosperent.com/images/brandlogos/120x60/9five.png"
"9G Products","http://img1.prosperent.com/images/brandlogos/120x60/9G%20Products.png"
"9W","http://img1.prosperent.com/images/brandlogos/120x60/9W.png"
":USE","http://img1.prosperent.com/images/brandlogos/120x60/%3AUSE.png"
"!iTbrand","http://img1.prosperent.com/images/brandlogos/120x60/%5C%21iTbrand.png"
"A & A Optical","http://img1.prosperent.com/images/brandlogos/120x60/A%20%26%20A%20Optical.png"
"A & E","http://img1.prosperent.com/images/brandlogos/120x60/A%20%26%20E.png"
"A & E CAGE CO.","http://img1.prosperent.com/images/brandlogos/120x60/A%20%26%20E%20CAGE%20CO..png"
"A & I","http://img1.prosperent.com/images/brandlogos/120x60/A%20%26%20I.png"
"A and L Furniture","http://img1.prosperent.com/images/brandlogos/120x60/A%20and%20L%20Furniture.png"
"A by Adrienne Landau","http://img1.prosperent.com/images/brandlogos/120x60/A%20by%20Adrienne%20Landau.png"
